7	COUTYP4
10	AGE3
24	SEXIDENT
32	IRSEX
46	NEWRACE2
116	HLTINALC
117	HLTINDRG
164	INCOME
340	MJEVER
406	COCEVER
434	HEREVER
448	LSD
449	PCP
450	PEYOTE
451	MESC
452	PSILCY
453	ECSTMOLLY
454	KETMINESK
455	DMTAMTFXY
456	SALVIADIV
463	HALLUCEVR
511	INHALEVER
524	METHAMEVR
539	PNRNMLIF
578	TRQNMLIF
606	STMANYLIF
638	SEDANYLIF
902	CIGFLAG
925	ALCFLAG
